stop_id,stop_code,stop_name,stop_lat,stop_lon
100004,100004,JOSEPH E LOWERY BLVD,33.752636,-84.417759
100010,100010,JOSEPH E LOWERY BLVD ,33.749364,-84.417742
100016,100016,W END AVE SW ,33.744255,-84.416588
100030,100030,ATLANTA STUDENT MOVEMENT BLVD ,33.749264,-84.416015
100035,100035,FAIR ST SW ,33.748985,-84.418059
100042,100042,FAIR ST SW,33.749088,-84.423135
100050,100050,MARTIN LUTHER KING J,33.75369,-84.432088
100052,100052,MARTIN LUTHER KING J DR SW,33.753549,-84.429794
100058,100058,HOLDERNESS ST SW ,33.748933,-84.426351
100061,100061,HOLDERNESS ST SW,33.747532,-84.426611
100063,100063,WESTVIEW DR SW,33.747154,-84.427994
100070,100070,WESTVIEW DR SW ,33.74728,-84.432645
100074,100074,LUCILE AVE SW ,33.742268,-84.418137
100124,100124,MARTIN L KING JR DR NW ,33.753645,-84.42959
100132,100132,MARTIN L KING JR DR ,33.75384,-84.424968
100137,100137,MARTIN LUTHER KING J DR ,33.754709,-84.41994
100154,100154,FAIR ST,33.749077,-84.425298
100164,100164,MARTIN LUTHER KING J DR,33.754747,-84.421316
100166,100166,LUCILE AVE ,33.742318,-84.426768
101002,101002,LEE ST SW ,33.744253,-84.414009
101006,101006,LEE ST SW,33.743338,-84.413776
101010,101010,PETERS ST SW,33.749214,-84.399712
101030,101030,PETERS ST SW ,33.748085,-84.401161
101092,101092,WHITEHALL ST SW ,33.746006,-84.399132
101098,101098,WHITEHALL ST SW,33.7453,-84.400551
101108,101108,MCDANIEL ST SW ,33.741343,-84.402897
101135,101135,NORTHSIDE DR ,33.748055,-84.405154
101137,101137,NORTHSIDE DR SW ,33.746084,-84.406794
101139,101139,MARTIN LUTHER J DR ,33.754609,-84.414402
101460,101460,MCDANIEL ST ,33.743499,-84.40391
101468,101468,W END AVE ,33.744607,-84.414342
102005,102005,MEMORIAL DR SE ,33.746876,-84.385771
102011,102011,HILL ST SE ,33.745662,-84.379324
102022,102022,PEACHTREE ST SW ,33.750864,-84.393047
102026,102026,PRYOR ST SW,33.747202,-84.39437
102028,102028,PRYOR ST SW ,33.748089,-84.393686
102032,102032,PRYOR ST ,33.751593,-84.391066
102042,102042,DECATUR ST SE ,33.753105,-84.38757
102046,102046,DECATUR ST ,33.75143,-84.384945
102051,102051,JESSE HILL JR DR SE ,33.750645,-84.38423
102054,102054,CENTRAL AVE SW,33.742566,-84.393344
102062,102062,MARTIN LUTHER KING J DR SW ,33.75141,-84.39075
102074,102074,FORSYTH ST SW,33.750585,-84.395177
102078,102078,TRINITY AVE SW ,33.750513,-84.396264
102110,102110,WINDSOR ST SW,33.743068,-84.398382
102124,102124,AUBURN AVE NE ,33.755507,-84.382255
102148,102148,MITCHELL ST SW ,33.750292,-84.391905
102150,102150,CAPITOL SQ SW ,33.748217,-84.38812
102152,102152,MARTIN L KING J DR ,33.750043,-84.388393
102178,102178,EDGEWOOD AVE SE ,33.754539,-84.38419
102180,102180,EDGEWOOD AVE ,33.754513,-84.386169
102222,102222,WINDSOR ST SW ,33.743098,-84.398064
102226,102226,MARIETTA ST NW ,33.754992,-84.390659
102248,102248,ALABAMA ST ,33.753183,-84.391353
102252,102252,HANK AARON DR SE ,33.7416,-84.387733
102253,102253,CAPITOL AVE ,33.746314,-84.387667
102289,102289,FORSYTH ST ,33.754015,-84.392419
102296,102296,FORSYTH ST SW ,33.751571,-84.394319
102298,102298,AUBURN AVE ,33.755584,-84.387626
102308,102308,PEACHTREE ST ,33.75425,-84.389767
102310,102310,PEACHTREE ST NE ,33.754599,-84.389636
102526,102526,BELL ST SE ,33.752715,-84.379623
102532,102532,SPRING ST,33.747384,-84.397702
102534,102534,MITCHELL ST ,33.750915,-84.393191
102540,102540,WALL ST ,33.753229,-84.389211
102544,102544,PRYOR ST,33.744606,-84.39452
102546,102546,CENTRAL AVE,33.743984,-84.393218
102554,102554,TED TURNER DR SW ,33.749164,-84.398123
103032,103032,JACKSON ST SE ,33.752351,-84.374122
103060,103060,BOULEVARD NE ,33.755851,-84.37208
103090,103090,MEMORIAL DR SE,33.746697,-84.365607
103168,103168,MEMORIAL DR,33.74685,-84.37136
103170,103170,MEMORIAL DR ,33.746836,-84.375825
103200,103200,GRANT ST ,33.747015,-84.376695
103900,103900,KING MEMORIAL STATION,33.749978,-84.375881
104012,104012,MORELAND AVE SE ,33.741948,-84.349267
105002,105002,FLAT SHOALS AVE SE ,33.739058,-84.344049
